,a,b,c,d
0,5,57,34,96.0
1,53,80,54,187.0
2,51,75,27,153.0
3,78,82,94,254.0
4,35,54,21,110.0
5,58,73,37,168.0
6,46,16,56,118.0
7,90,18,81,189.0
8,2,7,22,31.0
9,6,24,64,94.0
10,95,20,59,174.0
11,89,30,87,206.0
12,50,34,81,165.0
13,94,27,91,212.0
14,70,84,4,158.0
15,80,17,9,106.0
16,47,25,3,75.0
17,35,49,24,108.0
18,77,80,52,209.0
19,96,10,96,202.0
20,70,87,77,234.0
21,13,49,80,142.0
22,9,91,12,112.0
23,79,28,69,176.0
24,80,1,9,90.0
25,84,56,97,237.0
26,61,63,17,141.0
27,30,89,25,144.0
28,19,82,19,120.0
29,67,96,5,168.0
30,76,89,9,174.0
31,88,40,61,189.0
32,80,15,10,105.0
33,45,61,60,166.0
34,22,49,78,149.0
35,99,91,36,226.0
36,36,81,48,165.0
37,48,46,34,128.0
38,12,98,93,203.0
39,61,29,48,138.0
40,51,44,98,193.0
41,37,66,38,141.0
42,91,80,76,247.0
43,9,33,44,86.0
44,87,67,68,222.0
45,43,60,36,139.0
46,28,35,15,78.0
47,68,35,93,196.0
48,16,11,83,110.0
49,11,28,17,56.0
50,58,20,12,90.0
51,52,11,80,143.0
52,26,87,36,149.0
53,47,54,98,199.0
54,58,57,38,153.0
55,74,19,69,162.0
56,70,11,14,95.0
57,12,21,50,83.0
58,6,96,6,108.0
59,21,7,78,106.0
60,13,43,39,95.0
61,79,17,76,172.0
62,20,74,48,142.0
63,22,82,23,127.0
64,22,41,30,93.0
65,2,17,66,85.0
66,18,15,66,99.0
67,23,27,26,76.0
68,19,15,48,82.0
69,96,65,26,187.0
70,4,46,56,106.0
71,58,10,55,123.0
72,75,18,42,135.0
73,89,15,92,196.0
74,15,83,31,129.0
75,77,92,75,244.0
76,13,96,89,198.0
77,30,29,28,87.0
78,75,35,63,173.0
79,92,75,6,173.0
80,10,64,28,102.0
81,30,85,12,127.0
82,18,76,3,97.0
83,49,84,28,161.0
84,40,70,94,204.0
85,83,93,34,210.0
86,65,91,94,250.0
87,8,46,7,61.0
88,40,48,46,134.0
89,51,7,92,150.0
90,94,39,43,176.0
91,75,85,29,189.0
92,96,72,15,183.0
93,10,47,22,79.0
94,26,31,94,151.0
95,68,37,35,140.0
96,75,84,19,178.0
97,42,67,99,208.0
98,61,82,86,229.0
99,65,77,15,157.0
100,93,64,96,253.0
101,0,31,67,98.0
102,21,60,24,105.0
103,39,52,19,110.0
104,70,42,55,167.0
105,19,18,58,95.0
106,19,58,98,175.0
107,68,74,74,216.0
108,79,85,32,196.0
109,83,37,46,166.0
110,92,34,0,126.0
111,47,74,19,140.0
112,65,20,84,169.0
113,91,81,19,191.0
114,3,59,35,97.0
115,34,35,82,151.0
116,45,3,90,138.0
117,78,68,20,166.0
118,70,63,19,152.0
119,15,99,20,134.0
120,52,68,43,163.0
121,37,58,77,172.0
122,7,45,17,69.0
123,75,24,16,115.0
124,69,37,44,150.0
125,1,67,11,79.0
126,87,37,93,217.0
127,48,66,50,164.0
128,60,38,44,142.0
129,8,55,30,93.0
130,52,25,65,142.0
131,79,80,79,238.0
132,40,53,35,128.0
133,25,28,53,106.0
134,4,68,28,100.0
135,53,7,68,128.0
136,81,75,6,162.0
137,89,27,14,130.0
138,91,35,17,143.0
139,20,8,29,57.0
140,39,93,69,201.0
141,8,58,25,91.0
142,47,80,79,206.0
143,93,8,37,138.0
144,69,51,99,219.0
145,72,98,68,238.0
146,12,66,64,142.0
147,95,72,25,192.0
148,58,19,46,123.0
149,4,15,30,49.0
150,91,60,81,232.0
151,99,28,68,195.0
152,7,74,22,103.0
153,16,89,94,199.0
154,63,13,84,160.0
155,42,82,94,218.0
156,4,13,56,73.0
157,7,85,19,111.0
158,26,74,98,198.0
159,56,70,34,160.0
160,67,99,27,193.0
161,7,14,95,116.0
162,37,41,44,122.0
163,47,27,37,111.0
164,3,87,78,168.0
165,21,68,49,138.0
166,79,8,23,110.0
167,84,58,85,227.0
168,13,92,4,109.0
169,43,90,22,155.0
170,81,85,45,211.0
171,39,79,57,175.0
172,28,66,7,101.0
173,7,80,54,141.0
174,41,81,75,197.0
175,69,21,83,173.0
176,24,37,41,102.0
177,6,14,96,116.0
178,13,89,3,105.0
179,62,6,61,129.0
180,11,56,92,159.0
181,80,93,2,175.0
182,68,77,53,198.0
183,98,47,0,145.0
184,25,90,72,187.0
185,0,61,60,121.0
186,64,17,17,98.0
187,24,70,10,104.0
188,61,16,67,144.0
189,71,89,17,177.0
190,23,9,31,63.0
191,89,69,84,242.0
192,98,23,68,189.0
193,63,46,49,158.0
194,40,17,69,126.0
195,27,1,99,127.0
196,8,10,17,35.0
197,48,51,11,110.0
198,72,88,37,197.0
199,78,97,17,192.0
200,47,43,68,158.0
201,7,93,58,158.0
202,26,12,40,78.0
203,88,3,15,106.0
204,72,35,37,144.0
205,33,80,20,133.0
206,97,25,87,209.0
207,25,86,90,201.0
208,99,72,77,248.0
209,34,52,52,138.0
210,22,87,33,142.0
211,96,28,75,199.0
212,43,88,34,165.0
213,95,73,2,170.0
214,51,8,20,79.0
215,69,44,66,179.0
216,60,41,91,192.0
217,71,46,12,129.0
218,59,16,76,151.0
219,34,42,23,99.0
220,51,1,88,140.0
221,53,10,49,112.0
